"descricao","fipeid_marca","","fipeid_modelo","tipoveiculo"
AUDI,"6",A3 1.8 5P AUT.,"58",0
AUDI,"6",A3 1.8 5P MEC.,"59",0
AUDI,"6",A3 1.8 TURBO 180CV 3P AUT./ TIP.,"60",0
AUDI,"6",A3 1.8 TURBO 180CV 3P MEC.,"61",0
AUDI,"6",A3 1.8 TURBO 180CV 5P AUT./ TIP.,"62",0
AUDI,"6",A3 1.8 TURBO 180CV 5P MEC.,"63",0
AUDI,"6",A3 1.8 TURBO 3P AUT.,"64",0
AUDI,"6",A3 1.8 TURBO 3P MEC.,"65",0
AUDI,"6",A3 1.8 TURBO 5P AUT.,"66",0
AUDI,"6",A3 1.8 TURBO 5P MEC.,"67",0
AUDI,"6",A3 CABRIOLET 1.8 16V TFSI 180CV S-TRONIC,"6950",0
AUDI,"6",A3 SED. AMBITION 2.0 TSFI 220CV S-TRONIC,"7419",0
AUDI,"6",A3 SED.1.8/1.8 AMBIT.16V TB FSI S-TRONIC,"6689",0
AUDI,"6",A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,"7391",0
AUDI,"6",A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,"6768",0
AUDI,"6",A3 SPORT 1.8 16V TFSI S-TRONIC 3P,"6461",0
AUDI,"6",A3 SPORT 2.0 16V TFSI S- TRONIC,"5125",0
AUDI,"6",A3 SPORTBACK 1.4 TFSI S-TRONIC,"6510",0
AUDI,"6",A3 SPORTBACK 1.6 8V 102CV 5P,"4155",0
AUDI,"6",A3 SPORTBACK 1.8 16V TFSI S-TRONIC 5P,"6511",0
AUDI,"6",A3 SPORTBACK 2.0 16V TFSI MEC.,"4156",0
AUDI,"6",A3 SPORTBACK 2.0 16V TFSI S-TRONIC,"4157",0
AUDI,"6",A3 CABRIOLET AMBITION 2.0 TFSI S-TRONIC,"8227",0
AUDI,"6",A3 CABRIOLET PERFOR. 2.0 TFSI S-TRONIC,"8559",0
AUDI,"6",A3 SEDAN PERFORMANCE 2.0 TFSI S-TRONIC,"8560",0
AUDI,"6",A3 SEDAN PRESTIGE 1.4 TFSI FLEX TIP.,"8561",0
AUDI,"6",A3 SEDAN PRESTIGE PLUS 1.4 TFSI FLEX TIP,"8562",0
